182.87,182.87,300.72,558.72,864.12,1193.2199999999998,1920.8199999999997,2896.22,4847.72,0
182.87,0,23.57,25.8,30.54,32.91,36.38,48.77,65.05,102.41
"CDMX Doméstica Popular 2022",1,2,1,0,0,0,0.16,"MXN",2022,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
48.76,48.76,69.91,136.81,273.51,472.90999999999997,1066.71,1819.91,3771.4100000000003,0
48.76,0,4.23,6.69,13.67,19.94,29.69,37.66,65.05,102.41
"CDMX No Doméstica 2022",1,2,1,0,0,0,0.16,"MXN",2022,0,"ok",-1
0,10,20,30,50,70,90,120,1000
560.77,560.77,934.67,1503.57,2641.37,3779.1699999999996,4981.969999999999,6981.17,0
560.77,0,37.39,56.89,56.89,56.89,60.14,66.64,102.41
"CDMX Doméstica Alta 2023",1,2,1,0,0,0,0.16,"MXN",2023,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
229.75,229.75,359.05,648.1500000000001,991.35,1357.85,2143.0499999999997,3164.25,5207.25,0
229.75,0,25.86,28.91,34.32,36.65,39.26,51.06,68.1,107.22
"CDMX Doméstica Baja 2023",1,2,1,0,0,0,0.16,"MXN",2023,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
57.87,57.87,107.22,240.11999999999998,428.52,692.82,1361.22,2179.02,4222.0199999999995,0
57.87,0,9.87,13.29,18.84,26.43,33.42,40.89,68.1,107.22
"CDMX Doméstica Media 2023",1,2,1,0,0,0,0.16,"MXN",2023,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
191.47,191.47,314.87,585.07,904.8700000000001,1249.47,2011.2700000000002,3032.47,5075.47,0
191.47,0,24.68,27.02,31.98,34.46,38.09,51.06,68.1,107.22
"CDMX Doméstica Popular 2023",1,2,1,0,0,0,0.16,"MXN",2023,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
51.05,51.05,73.15,143.25,286.34999999999997,495.15,1116.9499999999998,1905.55,3948.55,0
51.05,0,4.42,7.01,14.31,20.88,31.09,39.43,68.1,107.22
"CDMX No Doméstica 2023",1,2,1,0,0,0,0.16,"MXN",2023,0,"ok",-1
0,10,20,30,50,70,90,120,1000
587.13,587.13,978.63,1574.23,2765.4300000000003,3956.63,5216.03,7309.13,0
587.13,0,39.15,59.56,59.56,59.56,62.97,69.77,107.22
"CDMX Doméstica Alta 2024",1,2,1,0,0,0,0.16,"MXN",2024,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
243.71,243.71,380.86,687.5600000000001,1051.56,1440.3600000000001,2273.36,3356.76,5523.96,0
243.71,0,27.43,30.67,36.4,38.88,41.65,54.17,72.24,113.74
"CDMX Doméstica Baja 2024",1,2,1,0,0,0,0.16,"MXN",2024,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
61.39,61.39,113.74000000000001,254.74,454.53999999999996,734.9399999999999,1444.14,2311.54,4478.740000000001,0
61.39,0,10.47,14.1,19.98,28.04,35.46,43.37,72.24,113.74
"CDMX Doméstica Media 2024",1,2,1,0,0,0,0.16,"MXN",2024,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
203.11,203.11,334.01,620.61,959.8100000000001,1325.4100000000003,2133.61,3217.01,5384.21,0
203.11,0,26.18,28.66,33.92,36.56,40.41,54.17,72.24,113.74
"CDMX Doméstica Popular 2024",1,2,1,0,0,0,0.16,"MXN",2024,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
54.16,54.16,77.61,152.01,303.81000000000006,525.3100000000001,1184.91,2021.51,4188.709999999999,0
54.16,0,4.69,7.44,15.18,22.15,32.98,41.83,72.24,113.74
"CDMX No Doméstica 2024",1,2,1,0,0,0,0.16,"MXN",2024,0,"ok",-1
0,10,20,30,50,70,90,120,1000
622.83,622.83,1038.13,1669.9299999999998,2933.5299999999997,4197.13,5533.129999999999,7753.429999999999,0
622.83,0,41.53,63.18,63.18,63.18,66.8,74.01,113.74
